IdZdarzenia;Data;IdOsoby;IdWykroczenia
1;2023-01-01;1;1
2;2023-01-01;2;4
3;2023-01-02;3;2
4;2023-01-03;4;3
5;2023-01-04;5;1
6;2023-01-05;6;5
7;2023-01-06;7;2
8;2023-01-07;8;4
9;2023-01-08;9;1
10;2023-01-09;10;3
11;2023-01-10;11;2
12;2023-01-11;12;6
13;2023-01-12;13;1
14;2023-01-13;14;4
15;2023-01-14;15;2
16;2023-01-15;16;3
17;2023-01-16;17;1
18;2023-01-17;18;5
19;2023-01-18;19;2
20;2023-01-19;20;4
21;2023-01-20;1;1
22;2023-01-21;2;3
23;2023-01-22;3;2
24;2023-01-23;4;1
25;2023-01-24;5;4
26;2023-01-25;6;2
27;2023-01-26;7;5
28;2023-01-27;8;1
29;2023-01-28;9;3
30;2023-01-29;10;2
31;2023-02-01;11;4
32;2023-02-02;12;1
33;2023-02-03;13;3
34;2023-02-04;14;2
35;2023-02-05;15;6
36;2023-02-06;16;1
37;2023-02-07;17;4
38;2023-02-08;18;2
39;2023-02-09;19;5
40;2023-02-10;20;1
41;2023-02-11;1;2
42;2023-02-12;2;3
43;2023-02-13;3;1
44;2023-02-14;4;4
45;2023-02-15;5;2
46;2023-02-16;6;5
47;2023-02-17;7;1
48;2023-02-18;8;3
49;2023-02-19;9;2
50;2023-02-20;10;4
51;2023-03-01;11;1
52;2023-03-02;12;2
53;2023-03-03;13;3
54;2023-03-04;14;1
55;2023-03-05;15;4
56;2023-03-06;16;2
57;2023-03-07;17;6
58;2023-03-08;18;1
59;2023-03-09;19;3
60;2023-03-10;20;2
61;2023-03-11;1;5
62;2023-03-12;2;1
63;2023-03-13;3;4
64;2023-03-14;4;2
65;2023-03-15;5;3
66;2023-03-16;6;1
67;2023-03-17;7;2
68;2023-03-18;8;4
69;2023-03-19;9;1
70;2023-03-20;10;5
71;2023-04-01;11;1
72;2023-04-02;12;3
73;2023-04-03;13;2
74;2023-04-04;14;4
75;2023-04-05;15;1
76;2023-04-06;16;5
77;2023-04-07;17;2
78;2023-04-08;18;3
79;2023-04-09;19;1
80;2023-04-10;20;2
81;2023-04-11;1;4
82;2023-04-12;2;1
83;2023-04-13;3;6
84;2023-04-14;4;2
85;2023-04-15;5;3
86;2023-04-16;6;1
87;2023-04-17;7;4
88;2023-04-18;8;2
89;2023-04-19;9;5
90;2023-04-20;10;1
91;2023-05-01;11;2
92;2023-05-02;12;3
93;2023-05-03;13;1
94;2023-05-04;14;4
95;2023-05-05;15;2
96;2023-05-06;16;6
97;2023-05-07;17;1
98;2023-05-08;18;3
99;2023-05-09;19;2
100;2023-05-10;20;4
101;2023-05-11;1;1
102;2023-05-12;2;2
103;2023-05-13;3;3
104;2023-05-14;4;1
105;2023-05-15;5;5
106;2023-05-16;6;2
107;2023-05-17;7;4
108;2023-05-18;8;1
109;2023-05-19;9;3
110;2023-05-20;10;2
111;2023-06-01;11;6
112;2023-06-02;12;1
113;2023-06-03;13;4
114;2023-06-04;14;2
115;2023-06-05;15;3
116;2023-06-06;16;1
117;2023-06-07;17;2
118;2023-06-08;18;4
119;2023-06-09;19;1
120;2023-06-10;20;5
121;2023-07-01;1;1
122;2023-07-02;2;2
123;2023-07-03;3;3
124;2023-07-04;4;4
125;2023-07-05;5;1
126;2023-07-06;6;6
127;2023-07-07;7;2
128;2023-07-08;8;3
129;2023-07-09;9;1
130;2023-07-10;10;4
131;2023-08-01;11;2
132;2023-08-02;12;1
133;2023-08-03;13;5
134;2023-08-04;14;3
135;2023-08-05;15;2
136;2023-08-06;16;4
137;2023-08-07;17;1
138;2023-08-08;18;2
139;2023-08-09;19;6
140;2023-08-10;20;1
141;2023-09-01;1;3
142;2023-09-02;2;4
143;2023-09-03;3;1
144;2023-09-04;4;2
145;2023-09-05;5;5
146;2023-09-06;6;1
147;2023-09-07;7;3
148;2023-09-08;8;4
149;2023-09-09;9;2
150;2023-09-10;10;1
151;2023-10-01;11;2
152;2023-10-02;12;3
153;2023-10-03;13;1
154;2023-10-04;14;6
155;2023-10-05;15;4
156;2023-10-06;16;2
157;2023-10-07;17;5
158;2023-10-08;18;1
159;2023-10-09;19;3
160;2023-10-10;20;2
161;2023-11-01;1;4
162;2023-11-02;2;1
163;2023-11-03;3;2
164;2023-11-04;4;3
165;2023-11-05;5;1
166;2023-11-06;6;5
167;2023-11-07;7;2
168;2023-11-08;8;6
169;2023-11-09;9;1
170;2023-11-10;10;3
171;2023-11-11;11;2
172;2023-11-12;12;4
173;2023-11-13;13;1
174;2023-11-14;14;5
175;2023-11-15;15;2
176;2023-11-16;16;3
177;2023-11-17;17;1
178;2023-11-18;18;4
179;2023-11-19;19;2
180;2023-11-20;20;6
181;2023-12-01;1;1
182;2023-12-02;2;2
183;2023-12-03;3;3
184;2023-12-04;4;4
185;2023-12-05;5;1
186;2023-12-06;6;5
187;2023-12-07;7;2
188;2023-12-08;8;3
189;2023-12-09;9;1
190;2023-12-10;10;4
191;2023-12-11;11;1
192;2023-12-12;12;2
193;2023-12-13;13;3
194;2023-12-14;14;1
195;2023-12-15;15;6
196;2023-12-16;16;2
197;2023-12-17;17;4
198;2023-12-18;18;1
199;2023-12-19;19;5
200;2023-12-20;20;2
